model_id,model_type_id,name,description,private,resistance_type
2588,40292,pertussis toxin subunit 1,The S1 subunit of pertussis toxin is the enzymatically active subunit and is the largest of the 5 subunits.,1,0
2612,40292,Legionella pneumophila RtxA,Legionella pneumophila RtxA is a toxin involved in pore formation in host cells,1,0
2489,40292,Hok,host killing - a long lived (half-life 20 minutes) toxin,1,0
2486,40292,single stranded DNA binding protein,binds to single stranded DNA,1,0
2623,40292,Shigella enterotoxin 2,Shigella enterotoxin 2 is a toxin encoded on inv plasmid. It may account for the early diarrheal phase often observed during shigellosis,1,0
2719,40292,TraF,conjugal transfer pilus assembly protein,1,0
2514,40292,HlgB,"HlgB is one of the F components of γ-hemolysin. HlgB may combine with any of the S components (HlgA, HlgC or LukS-PV) produced by Staphylococcus aureus to form an active toxin molecule.",1,0
2963,40292,SPE-G,speG is an exotoxin G precursor found in Streptococcus pyogenes,1,0
2667,40292,ParB,Involved in plasmid partition. Localize to both poles of the predivisional cell following completion of DNA replication. Binds to the DNA origin of replication.,1,0
2669,40292,StbB,Mediator of plasmid stability,1,0
2670,40292,StbA,plasmid stability protein,1,0
2658,40292,VagD,Toxin of the VagCD toxin antitoxin system,1,0
2676,40292,ParD,ParD is a plasmid anti-toxin that forms a ribbon-helix-helix DNA binding structure. It stabilises plasmids by inhibiting ParE toxicity in cells that express ParD and ParE. ParD forms a dimer and also regulates its own promoter (parDE).,1,0
2675,40292,FlmA,Toxin of the Flm toxin/antitoxin system - F-plasmid homologues of hok/mok TA system,1,0
2672,40292,RelE,Toxic compnent of a type II toxin-antitoxin module,1,0
2653,40292,msrB,MsrB is an ABC-efflux pump expressed to Staphylococcus species that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA.,1,0
2710,40292,TraH,conjugal transfer pilus assembly protein,1,0
2703,40292,YafN,antitoxin of YafO-YafN TA system,1,0
2702,40292,Omega,Type II TA mediator,1,0
2690,40292,PndA,PndA encodes toxin proteins containing single transmembrane domains. It is part of the PndA-PndB (promotion of nucleic acid acid degradation) TA.,1,0
2701,40292,MazF,Type II toxin,1,0
2709,40292,TraS,Entry exclusion protein,1,0
2699,40292,HicB,antitoxin type II,1,0
2764,40292,Escherichia coli CpxR,"The Escherichia coli CpxR/CpxA system responds to general periplasmic stress and has been used as a model two-component system for transcription regulation in bacteria. CpxR/CpxA system facilitates Salmonella and E. coli resistance to cationic antimicrobial peptides.The CpxR/CpxA system can activate transcription of marRAB operon, thus facilitating multidrug-resistant regulator to enhance expression of TolC-dependent tripartite multidrug transporters.",1,0
2776,40292,Escherichia coli rob,"rob is a positive regulator for the acrAB efflux genes, and is structurally similar to SoxS and MarA.",1,0
3069,40292,PilO,PilO is part of the IM alignment sub‐complex.,1,0
3170,40292,TasA,TasA is a component of the B. subtilis fibril.,1,0
3175,40292,FapE,FapE is a component of the Fap adhesive fimbril.,1,0
3180,40292,FapA,FapA is part of the Fap amyloid adhesin.,1,0
2830,40292,DnaA,"DnaA is a chromosomal replication initiation protein which binds and interacts with RNA polymerase in Escherichia coli. A surplus of DnaA present in a cell has been shown to confer resistance to the antibiotic Rifampicin. Normally, rifampicin inhibits initiation of transcription by RNA polymerase, but a surplus of DnaA available at the origin has been shown to disrupt Rifampicin activity and confer resistance.",1,0
538,40292,Enterobacter cloacae rob,,1,0
2879,40292,QepA3,A plasmid-mediate quinolone efflux pump described in Enterobacter aerogenes and Escherichia coli. QepA3 confers resistance to fluoroquinolone antibiotics by expelling the antibiotic molecules from the cell. This is distinct from the usual chromosomal mutation mechanism of quinolone resistance. Described by Wang et al. 2017.,1,0
2892,40292,Proteus mirabilis chloramphenicol acetyltransferase,A chloramphenicol resistance determinant described in Proteus mirabilis.,1,0
2898,40292,Shigella flexneri chloramphenicol acetyltransferase,A chloramphenicol acetyltransferase and chloramphenicol resistance determinant described in Shigella flexneri,1,0
2542,40292,CylI,"The cylI gene product protects the cytolysin-producing bacterium from lysis, though the mechanisms is still unknown",1,0
3469,40292,OXA-307,OXA-307 is a beta-lactamase found in Acinetobacter spp.,1,0
1374,40292,blaI,,1,0
2671,40292,Zeta,Type II toxin,1,0
3071,40292,PilA,Component of adhesin in Pseudomonas aeruginosa.,1,0
3171,40292,TapA,TapA is component of the Bacillus subtilis fibril.,1,0
3176,40292,FapC,FapC is a component of Fap amyloid adhesins.,1,0
3253,40292,PapH,PapH is a minor subunit of P pili in E. coli.,1,0
3453,40292,OXA-289,OXA-289 is a beta-lactamase found in Acinetobacter spp.,1,0
2507,40292,RepA4,Associated with replication initiation.,1,0
2692,40292,YafO,toxin type II,1,0
2966,40292,SPE-J,SpeJ is an exotoxin type J precursor found in Streptococcus pyogenes,1,0
2967,40292,ypjA,ypjA is an adhesin-like autotransporter protein found in Escherichia coli K-12 MG1655. It is homologous to Ag43. It is important in early stage adhesion and does not influence mature biofilm formation.,1,0
2968,40292,ydhQ,ydhQ is an adhesin-like autotransporter protein found in Escherichia coli K-12 MG1655. It is homologous to Ag43. It is important in early stage adhesion and does not influence mature biofilm formation.,1,0
2954,40292,yplA phospholipase A,Phospholipase from Yersinia enterocolitica.,1,0
2956,40292,Tse2,A toxic effector secreted by the type VI secretion system of Pseudomonas aeruginosa.,1,0
2959,40292,LegS1,Acid sphingomyelinase-like phosphodiesterase found in Legionella pneumophila.,1,0
2961,40292,SPE-A,SpeA is an exotoxin type A precursor found in Streptococcus pyogenes,1,0
2964,40292,SPE-H,SpeH is an exotoxin type H precursor found in Streptococcus pyogenes,1,0
2969,40292,Antigen 43,Ag43 is a surface adhesin found in E. coli that promotes biofilm formation.,1,0
3168,40292,CsgA,CsgA is a major subunit of the E.coli curli pili.,1,0
3172,40292,SipW,SipW is a component of Bacillus subtilis fimbril.,1,0
3177,40292,FapB,FapB is a component of the Fap amyloid adhesins.,1,0
2955,40292,Tse1,A toxic effector protein secreted by the type VI secretion system of Pseudomonas aeruginosa.,1,0
2957,40292,Tse3,A toxic effector protein secreted by the type VI secretion system of Pseudomonas aeruginosa,1,0
2962,40292,SPE-C,speC is an exotoxin C precursor found in Streptococcus pyogenes,1,0
2965,40292,SPE-I,SpeI is an exotoxin type I precursor found in Streptococcus pyogenes,1,0
2916,40292,IucC aerobactin siderophore biosynthesis protein,Part of the IucA/IucC gene family catalyzing the biosynthesis of the aerobactin (siderophore) in Shigella flexneri serotype 2a str. 301,1,0
2918,40292,IucB aerobactin siderophore biosynthesis protein 1,Catalyzing the biosynthesis of the aerobactin (siderophore) in Shigella flexneri serotype 2a str. 301,1,0
2920,40292,PilJ,C. difficile gram-positive type IV pili.,1,0
2922,40292,iroN outer membrane receptor FepA,"FepA is an enterobactin receptor biosynthesized by all E.coli strains encoded by the IroN gene cluster. This outer membrane receptor allows the transport of salmochelins (enterobactin siderophore, iroA) in Shigella dysenteriae Sd197",1,0
2926,40292,IutA ferric aerobactin siderophore receptor,"Outer membrane transport protein allowing the transport of ferric-aerobactin across the cytoplasmic membrane in Shigella boydii strain: Sb227, serotype: 4.",1,0
2929,40292,IutA ferric aerobactin siderophore receptor 2,Outer membrane transport protein allowing the transport of ferric-aerobactin across the cytoplasmic membrane in Shigella sonnei strain: Ss046,1,0
2932,40292,tonB Transport Protein,"Part of a three inner membrane protein complex consisting of TonB-ExbB-ExbD.  Transduces proton motive force of the cytoplasmic membrane to outer membrane transporters (TonB-dependent transporters, TBDTs) which allow for the transportation of siderophores, as well as vitamin B12, nickel complexes and carbohydrates.",1,0
2933,40292,IutA ferric aerobactin siderophore receptor 3,Outer membrane transport protein allowing the transport of ferric-aerobactin across the cytoplasmic membrane in Shigella flexneri 5 strain 8401,1,0
2936,40292,TonB Transport Protein 2,"Part of a three inner membrane protein complex consisting of TonB-ExbB-ExbD. Transduces proton motive force of the cytoplasmic membrane to outer membrane transporters (TonB-dependent transporters, TBDTs) which allow for the transportation of siderophores, as well as vitamin B12, nickel complexes and carbohydrates.",1,0
2939,40292,InvA,Virulence bio of Yersinia enterocolitica.,1,0
2940,40292,hylA,hylA is a hyaluronidase found in group A streptococcus. It is involved in the growth and spread of the bacteria within the host.,1,0
2941,40292,Clostridium botulinum colA,Collagenase found in Clostridium botulinum which facilitates bacterial invasion.,1,0
2942,40292,streptokinase found in streptococcus dysgalactiae,Streptokinase found in streptococcus dysgalactiae.,1,0
2943,40292,staphlokinase from Staphylococcus aureus,Staphlokinase from Staphylococcus aureus assists invasion into tissues through plasmininduced proteolysis.,1,0
2944,40292,neuraminidase of Vibrio cholerae,neuraminidase of Vibrio cholerae,1,0
2945,40292,nanA from Shigella dysenteriae,nanA from Shigella dysenteriae,1,0
2947,40292,YE2966 hemolysin of Yersinia enterocolitica strain 8081,YE2966 hemolysin of Yersinia enterocolitica strain 8081,1,0
2948,40292,YE2407 of hemolysin Yersinia enterocolitica strain 8081,YE2407 of hemolysin Yersinia enterocolitica strain 8081,1,0
2949,40292,YE3454 hemolysin of Yersinia enterocolitica 8081,YE3454 hemolysin of Yersinia enterocolitica 8081,1,0
2950,40292,YE2408 hemolysin of Yersinia enterocolitica 8081,YE2408 hemolysin of Yersinia enterocolitica 8081,1,0
2951,40292,HlyE,"Also known as Cytolysin A, ClyA, silent hemolysin A, SheA, hemolysin E, HlyE",1,0
2953,40292,phospholipase D from Rickettsia rickettsii,phospholipase D from Rickettsia rickettsii,1,0
2972,40292,yeeJ,yeeJ is an autotransporter adhesin found in Escherichia coli K-12 MG1655. It is homologous to Ag43. It greatly increases adhesion to solid surfaces.,1,0
3163,40292,ang-DHBA,"(2,3-dihydroxybenzoyl)adenylate ligase (DHBA-AMP ligase) involved in anguibactin biosynthesis",1,0
2369,40292,ADC-80,ADC-80 is a beta-lactamase found in Acinetobacter baumannii.,1,0
2649,40292,mobC,The relaxosome protein MobC promotes conjugal plasmid mobilization by extending DNA strand separation to the nick site at the origin of transfer,1,0
2547,40292,CylR2,"Cytolysin operon-encoded regulatory proteins, CylR1 and CylR2, cooperatively repress toxin expression",1,0
2495,40292,TraL,conjugal transfer protein,1,0
3173,40292,CsgC,CsgC regulates CsgA amyloid formation.,1,0
3178,40292,FapF,FapF is a component of the Fap amyloid adhesins.,1,0
3165,40292,CsgF,Curli assembly component,1,0
3167,40292,CsgB,Minor subunit curlin.,1,0
3181,40292,Staphylococcus Bap protein,Staphylococcus Bap protein is a major component of biofilm formation.,1,0
3182,40292,Rck,Rck is an invasin in Salmonella that uses a zipper entry method into host cells.,1,0
3183,40292,inlA,Internalin A is an invasion factor of Listeria.,1,0
3184,40292,inlB,Internalin B is an invasin found in Listeria.,1,0
3185,40292,CotA,CotA,1,0
3249,40292,TcpE,TcpE is a component of the TCP pilus.,1,0
3186,40292,Cfab,Cfab is the major pilin of CFA/I.,1,0
3187,40292,InsB,InsB is a component of the CS4 pili.,1,0
3188,40292,CsaE,Minor pilin of the CS4 pili.,1,0
3189,40292,CsaC,CsaC is the usher protein of CS4.,1,0
3190,40292,CsaB,CsaB is the major subunit of CS4 pili.,1,0
3192,40292,CooA,CooA is a CS1 fimbrial subunit A precursor.,1,0
3193,40292,CooD,CooD is a tip-associated minor pilin,1,0
3194,40292,CooC,CooC is the usher protein of the CS1 pili.,1,0
3195,40292,CooB,CooB is the  periplasmic chaperone of the CS1 pili.,1,0
3197,40292,SipA,Effector protein of Salmonella.,1,0
3198,40292,SipC,SipC is an effector protein involved in Salmonella invasion.,1,0
3199,40292,SopB of Salmonella,SopB is a phosphotase involved in Salmonella invasion.,1,0
3200,40292,gltB of E.coli,gltB of E.coli,1,0
3201,40292,gltD,gltD is a part of E.coli's fimbrial usher protein family.,1,0
3202,40292,gltF,gltF is a part of E.coli FUP.,1,0
3203,40292,yhcA,yhcA,1,0
3204,40292,yhcD,yhcD,1,0
3205,40292,yhcE,yhcE,1,0
3206,40292,yhF,yhF,1,0
3207,40292,yhcG,yhcG,1,0
3208,40292,FaeC,FaeC,1,0
3209,40292,FaeF,FaeF,1,0
3210,40292,FaeH,FaeH,1,0
3211,40292,FaeG,FaeG,1,0
3212,40292,CsuA,Acinetobacter baumannii alternate CUP pili.,1,0
3213,40292,CsuB,CsuB,1,0
3214,40292,CsuE,CsuE,1,0
3215,40292,CsuA/B,CsuA/B,1,0
3223,42418,S pilus of Escherichia coli,S pili in E.coli mediate adhesion.,1,0
3224,42418,CS1 pili,CS1 pili,1,0
3225,42418,CS4 pili,CS4 pili is the Coli Surface Antigen 4 pili.,1,0
3226,40292,E.coli fimbrial usher protein,E.coli fimbrial usher protein,1,0
3227,40292,Acinetobacter baumannii CUP,Acinetobacter baumannii CUP,1,0
3228,42418,F4 fimbrial antigen,F4 fimbrial antigen,1,0
3229,42418,Type I pili of Escherichia coli,Type I pili of Escherichia coli include the Fim proteins.,1,0
3230,42418,P pili,P pili are found in pyelonephritic E. coli.,1,0
3231,42418,curli of Escherichia coli,Curli of Escherichia coli,1,0
3234,42418,Type IVa pili of Pseudomonas aeruginosa,The gram positive bacteria Pseudomonas aeruginosa. Assembly proteins make up the pilus.,1,0
3235,40292,CS2 pili,CS2 pili,1,0
3237,40292,BfpL,BfpL is the inner membrane protein of E.coli bundle forming IVb pilus.,1,0
3238,40292,BfpK,BfpK is the prepilin protein of E.coli bundle forming IVb pilus.,1,0
3239,40292,BfpH,BfpH is the lipoprotein of E.coli bundle forming IVb pilus.,1,0
3240,40292,BfpP,BfpP is the prepilin peptidase of E.coli bundle forming IVb pilus.,1,0
3241,40292,bfpE,bfpE is the transmembrane protein of E.coli bundle forming IVb pilus.,1,0
3242,40292,BfpC,BfpC is the protein of E.coli bundle forming IVb pilus.,1,0
3243,40292,BfpG,BfpG is a lipoprotein of E.coli bundle forming IVb pilus.,1,0
3244,40292,BfpA,BfpA is the major pilin structural unit bundlin of E.coli bundle forming IVb pilus.,1,0
3245,40292,TcpS,TcpS is a component of the TCP pilus.,1,0
3246,40292,TcpC,TcpC is the secretin of the TCP pilus.,1,0
3247,40292,TcpB,TcpB is a component of the TCP pilus.,1,0
3250,40292,TcpT,TcpT is a component of the TCP pilus.,1,0
3232,42418,Bacillus subtilis fibril,Bacillus subtilis fimrbils consist of TasA and is involved in biofilm formation.,1,0
3027,40292,BabA,"Helicobacter outer membrane proteins, also known as Hops, are similar to OmpA.",1,0
3078,40292,SfaB,SfaB is part of the S pili assembly.,1,0
3164,40292,CsgE,Curli transport specificity factor.,1,0
3191,40292,375,CsaA is a chaperone-like protein that is part of the CS4 pili.,1,0
3248,40292,TcpA,TcpA is a component of the TCP pili.,1,0
2946,40292,NanA of Streptococcus pneumoniae O25b:H4,NanA of Escherichia coli O25b:H4,1,0
2977,40292,SopE,SopeE is a toxin utilized by Salmonella enterica. It is injected by the pathogen through a type III secretion system and exerts its toxic effect by inducing both cytoskeletal and nuclear responses by stimulating GDP/GTP nucleotide exchange in Rho family of small molecular weight GTP-binding proteins. It is also essential for bacterial entry into host cell,1,0
2722,40292,TrbC,conjugal transfer pilus assembly protein,1,0
2515,40292,exfoliative toxin A,Exfoliative toxin A (ETA) is a heat stable toxin primarily responsible for the skin manifestation of staphylococcal scalded skin syndrome and bullous impetigo.,1,0
2635,40292,cytotoxic necrotizing factor,"Cytotoxic necrotizing factor (CNFy) from Yersinia pseudotuberculosis is a toxin that modulates inflammatory responses, protects the bacteria from attacks of innate immune effectors and enhances the severity of a Yersinia infection.",1,0
2575,40292,anthrolysin O,Anthrolysin O is a pore-forming toxin from Bacillus anthracis that has lytic activity against phagocytes and decreases the barrier function of human polarized epithelial cells,1,0
2651,40292,MobB,MobB promotes the specific transfer of the plasmid in the presence of conjugative plasmids.,1,0
2725,40292,TrbI,conjugal transfer protein,1,0
2742,40292,LexA,"LexA is a transcriptional repressor that represses SOS response genes coding primarily for error-prone DNA polymerases, DNA repair enzymes and cell division inhibitors. LexA forms de facto a two-component regulatory system with RecA, which senses DNA damage at stalled replication forks, forming monofilaments and acquiring an active conformation capable of binding to LexA and causing LexA to cleave itself, in a process called autoproteolysis",1,0
2598,40292,EAEC heat-stable enterotoxin 1,"EAEC heat-stable enterotoxin 1 from Enteroaggregative Escherichia coli (EAEC), a toxin implicated in the pathogenesis of EAEC leading to diarrhea",1,0
2727,40292,TraW,conjugal transfer pilus assembly protein,1,0
2568,40292,exoenzyme S,"Pseudomonas aeruginosa Exoenzyme S (ExoS) is a bifunctional type-III cytotoxin. It inhibits Rho GTPase family signalling, paralysing macrophages, and inhibits phagocytosis",1,0
2594,40292,CdtB,"The cytolethal distending toxin subunits CdtA and CdtC associate with the nuclease CdtB to form a ternary complex that translocates CdtB into the host cell, where it acts as a genotoxin by creating DNA lesions",1,0
2650,40292,mobA,"DNA strand transferase,conjugal transfer relaxase TraA,Ti-type conjugative transfer relaxase TraA,MobA/MobL family",1,0
2562,40292,Staphylococcal enterotoxin D,Staphylococcal enterotoxins are prototype superantigens characterized by their ability to bind to major histocompatibility complex (MHC) class II molecules and subsequently activate a large fraction of T-lymphocytes.,1,0
2723,40292,TraU,conjugal transfer pilus assembly protein,1,0
2736,40292,RecA,RecA is a 38 kilodalton protein essential for the repair and maintenance of DNA.,1,0
2467,40292,CcdB,toxin protein,1,0
2737,40292,DNA polymerase,"DNA polymerases are enzymes that synthesize DNA molecules from deoxyribonucleotides, the building blocks of DNA. These enzymes are essential to DNA replication and usually work in pairs to create two identical DNA strands from a single original DNA molecule. During this process, DNA polymerase",1,0
2561,40292,Staphylococcal enterotoxin C3,Staphylococcal enterotoxins are prototype superantigens characterized by their ability to bind to major histocompatibility complex (MHC) class II molecules and subsequently activate a large fraction of T-lymphocytes.,1,0
2621,40292,Salmonella typhi cytolethal distending toxin,"Salmonella typhi cytolethal distending toxin differs from classic cytolethal distending toxins in which the genes encoding CdtA and CdtC are absent. Normally CdtA and CdtC mediate target cell binding and membrane translocation of CdtB, which then induces DNA damage through its nuclease. CdtB from S. typhi is produced with the pertussis-like toxins PltA and PltB only inside the host cell.",1,0
2576,40292,edema factor,Edema factor (EF) is a calcium- and calmodulin-dependent adenylate cyclase that causes dramatic increases in intracellular concentrations of cAMP,1,0
2570,40292,exoenzyme U,"Pseudomonas aeruginosa exoenzyme U (ExoU) is an acute cytotoxin associated with lung injury, bacterial dissemination and sepsis in animal model and human infections.",1,0
2596,40292,diphtheria toxin,"Diphtheria toxin from Corynebacterium diphtheriae acts on and inhibit translation elongation factor 2 (eEF2), thereby blocking its function on the ribosome and inhibiting protein synthesis in the host cell",1,0
2634,40292,zona occludens toxin,Zona occludens toxin (Zot) from Vibrio cholerae is a toxin that has the ability to increase mucosal permeability by reversibly affecting the structure of tight junctions.,1,0
2458,40292,Asa1,"Asa1 is an aggregation substance encoded on pheromone-inducible conjugative plasmid pTEF1Asa1 have been implicated in binding to components of the extracellular matrix such as fibrin, fibronectin, thrombospondin, vitronectin and collagen type I.",1,0
2582,40292,HBL-L2,"HBL-L2 is a component of Hemolysin BL, a membrane-lytic toxin from Bacillus cereus. HBL-B first binds to the cell membrane, followed by the ordered recruitment of first L1 and then L2.The membrane-associated HBL components form a membrane attack complex that causes lysis by a colloid osmotic mechanism",1,0
2471,40292,EbpB,EbpB is an ancillary structural protein subunit at the base of the endocarditis and biofilm-associated Ebp pili.,1,0
2483,40292,antirestriction protein KlcA,def,1,0
2573,40292,aerolysin,"Aerolysin is a pore-forming toxin from Aeromonas hydrophila responsible for the hemolytic, cytotoxic, and enterotoxic activities",1,0
2905,40292,tse6,Tse6 is a T6S integral membrane toxin from Pseudomonas aeruginosa. Tse6 acts on target cells by degrading the universally essential dinucleotides NAD(+) and NADP(+). Described by Whitney et al 2015.,1,0
2563,40292,Staphylococcal enterotoxin E,Staphylococcal enterotoxins are prototype superantigens characterized by their ability to bind to major histocompatibility complex (MHC) class II molecules and subsequently activate a large fraction of T-lymphocytes.,1,0
